grid,node,unit,input_output,dummy,capacity,useInitialGeneration,initialGeneration,conversionCoeff,maxRampUp,maxRampDown,upperLimitCapacityRatio,unitSize,invCosts,annuity,fomCosts,vomCosts,startCostHot,startCostWarm,startCostCold,startFuelConsHot,startfuelConsWarm,startFuelConsCold
all,Gas,U_DE00_gasCCGTNew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_FR00_gasCCGTNew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_PL00_gasCCGTNew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_UK00_gasCCGTNew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DE00_gasCCGTOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_NL00_gasCCGTOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_UK00_gasCCGTOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DE00_gasCCGTOld2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_NL00_gasCCGTOld2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_UK00_gasCCGTOld2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_FR00_gasCCGTpresent1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_LV00_gasCCGTpresent1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_SE03_gasCCGTpresent1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_FR00_gasCCGTpresent2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_LT00_gasCCGTpresent2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_NL00_gasCCGTpresent2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_UK00_gasCCGTpresent2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DE00_gasOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_UK00_gasOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DE00_gasOld2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Lignite,U_PL00_ligniteNew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Lignite,U_PL00_ligniteOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_PL00_hardcoalNew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_PL00_hardcoalOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_PL00_hardcoalOld2,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_FI00_hardcoalNewBio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_NL00_hardcoalNewBio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_UK00_hardcoalNewBio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_UK00_hardcoalOldBio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_DKE1_hardcoalOld2Bio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_DKW1_hardcoalOld2Bio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_UK00_hardcoalOld2Bio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Oilshale,U_EE00_oilshaleNewBio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DE00_gasOCGTnew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_FI00_gasOCGTnew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_FR00_gasOCGTnew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_NL00_gasOCGTnew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_PL00_gasOCGTnew,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DE00_gasOCGTold,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_FI00_gasOCGTold,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_NL00_gasOCGTold,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_SE02_gasOCGTold,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_SE03_gasOCGTold,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_UK00_gasOCGTold,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_LT00_HFOOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_UK00_HFOOld1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Nuclear,U_FR00_nuclear,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
