zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,1,1982,160.138143036679,0
AL00,1,1983,184.277654028679,0
AL00,1,1984,130.375106664,0
AL00,1,1985,178.810052737358,0
AL00,1,1986,307.622841058641,0
AL00,1,1987,120.45648811132,0
AL00,1,1988,122.45272678166,0
AL00,1,1989,88.4581978523773,0
AL00,1,1990,84.7385876680754,0
AL00,1,1991,157.756197408452,0
AL00,1,1992,106.42947496732,0
AL00,1,1993,88.8592920559245,0
AL00,1,1994,238.85518856966,0
AL00,1,1995,239.901521274566,0
AL00,1,1996,123.21388253366,0
AL00,1,1997,208.196614499547,0
AL00,1,1998,130.257137780603,0
AL00,1,1999,132.024619398792,0
AL00,1,2000,240.458539567471,0
AL00,1,2001,228.203111307169,0
AL00,1,2002,188.466062297434,0
AL00,1,2003,163.877243732151,0
AL00,1,2004,171.692938711245,0
AL00,1,2005,332.087535842264,0
AL00,1,2006,246.058471171471,0
AL00,1,2007,138.404171449584,0
AL00,1,2008,124.297144628151,0
AL00,1,2009,166.656180298415,0
AL00,1,2010,170.776884686264,0
AL00,1,2011,201.687809585207,0
AL00,1,2012,76.3545904159245,0
AL00,1,2013,144.461617157886,0
AL00,1,2014,116.459907505132,0
AL00,1,2015,130.459223606943,0
AL00,1,2016,117.593434602113,0
AL00,1,2017,115.950076765584,0
AL00,2,1982,170.91024081532,0
AL00,2,1983,141.480594765283,0
AL00,2,1984,152.005470796981,0
AL00,2,1985,346.427422981358,0
AL00,2,1986,236.975892966339,0
AL00,2,1987,170.994357758264,0
AL00,2,1988,113.028551722867,0
AL00,2,1989,88.3720292766792,0
AL00,2,1990,87.790391390717,0
AL00,2,1991,97.9151990352453,0
AL00,2,1992,99.4026327824151,0
AL00,2,1993,76.0417164208302,0
AL00,2,1994,160.336125597509,0
AL00,2,1995,184.578218227245,0
AL00,2,1996,165.911437608452,0
AL00,2,1997,168.730381013434,0
AL00,2,1998,150.562147154037,0
AL00,2,1999,164.978970521434,0
AL00,2,2000,206.104974906113,0
AL00,2,2001,210.927337696075,0
AL00,2,2002,97.0565907273962,0
AL00,2,2003,258.602153833811,0
AL00,2,2004,116.380919644075,0
AL00,2,2005,203.410155282792,0
AL00,2,2006,231.13489451366,0
AL00,2,2007,95.9958965932075,0
AL00,2,2008,192.593947399924,0
AL00,2,2009,159.717558321962,0
AL00,2,2010,189.458026734339,0
AL00,2,2011,183.431355517358,0
AL00,2,2012,122.002393392,0
AL00,2,2013,138.312873792,0
AL00,2,2014,82.1894339703396,0
