zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,1,1982,160.138143,0
AL00,1,1983,184.277654,0
AL00,1,1984,130.3751067,0
AL00,1,1985,178.8100527,0
AL00,1,1986,307.6228411,0
AL00,1,1987,120.4564881,0
AL00,1,1988,122.4527268,0
AL00,1,1989,88.45819785,0
AL00,1,1990,84.73858767,0
AL00,1,1991,157.7561974,0
AL00,1,1992,106.429475,0
AL00,1,1993,88.85929206,0
AL00,1,1994,238.8551886,0
AL00,1,1995,239.9015213,0
AL00,1,1996,123.2138825,0
AL00,1,1997,208.1966145,0
AL00,1,1998,130.2571378,0
AL00,1,1999,132.0246194,0
AL00,1,2000,240.4585396,0
AL00,1,2001,228.2031113,0
AL00,1,2002,188.4660623,0
AL00,1,2003,163.8772437,0
AL00,1,2004,171.6929387,0
AL00,1,2005,332.0875358,0
AL00,1,2006,246.0584712,0
AL00,1,2007,138.4041714,0
AL00,1,2008,124.2971446,0
AL00,1,2009,166.6561803,0
AL00,1,2010,170.7768847,0
AL00,1,2011,201.6878096,0
AL00,1,2012,76.35459042,0
AL00,1,2013,144.4616172,0
AL00,1,2014,116.4599075,0
AL00,1,2015,130.4592236,0
AL00,1,2016,117.5934346,0
AL00,1,2017,115.9500768,0
AL00,2,1982,170.9102408,0
AL00,2,1983,141.4805948,0
AL00,2,1984,152.0054708,0
AL00,2,1985,346.427423,0
AL00,2,1986,236.975893,0
AL00,2,1987,170.9943578,0
AL00,2,1988,113.0285517,0
AL00,2,1989,88.37202928,0
AL00,2,1990,87.79039139,0
AL00,2,1991,97.91519904,0
AL00,2,1992,99.40263278,0
AL00,2,1993,76.04171642,0
AL00,2,1994,160.3361256,0
AL00,2,1995,184.5782182,0
AL00,2,1996,165.9114376,0
AL00,2,1997,168.730381,0
AL00,2,1998,150.5621472,0
AL00,2,1999,164.9789705,0
AL00,2,2000,206.1049749,0
AL00,2,2001,210.9273377,0
AL00,2,2002,97.05659073,0
AL00,2,2003,258.6021538,0
AL00,2,2004,116.3809196,0
AL00,2,2005,203.4101553,0
AL00,2,2006,231.1348945,0
AL00,2,2007,95.99589659,0
AL00,2,2008,192.5939474,0
AL00,2,2009,159.7175583,0
AL00,2,2010,189.4580267,0
AL00,2,2011,183.4313555,0
AL00,2,2012,122.0023934,0
AL00,2,2013,138.3128738,0
AL00,2,2014,82.18943397,0
AL00,2,2015,130.8777567,0
AL00,2,2016,100.719781,0
AL00,2,2017,119.1434431,0
AL00,3,1982,138.5139338,0
AL00,3,1983,113.5004273,0
AL00,3,1984,219.3451869,0
AL00,3,1985,178.0027352,0
AL00,3,1986,214.2109759,0
AL00,3,1987,216.7016581,0
AL00,3,1988,101.6419899,0
AL00,3,1989,91.80851414,0
AL00,3,1990,90.63498021,0
AL00,3,1991,93.88989557,0
AL00,3,1992,99.08052644,0
AL00,3,1993,79.27406383,0
AL00,3,1994,133.4094715,0
AL00,3,1995,166.7987688,0
AL00,3,1996,115.077107,0
AL00,3,1997,132.4493074,0
AL00,3,1998,105.401607,0
AL00,3,1999,116.943067,0
AL00,3,2000,130.4930755,0
AL00,3,2001,137.8020172,0
AL00,3,2002,157.4248587,0
AL00,3,2003,217.3745936,0
