zone,week,year,Minimum Reservoir levels at beginning of each week (ratio) 0<=x<=1.0,Maximum Reservoir level at beginning of each week (ratio) 0<=x<=1.0,Reservoir levels at beginning of each week (ratio) 0<=x<=1.0
AT00,1,1982,0.244062255,0.644739168,NA
AT00,1,1983,0.244062255,0.644739168,NA
AT00,1,1984,0.244062255,0.644739168,NA
AT00,1,1985,0.244062255,0.644739168,NA
AT00,1,1986,0.244062255,0.644739168,NA
AT00,1,1987,0.244062255,0.644739168,NA
AT00,1,1988,0.244062255,0.644739168,NA
AT00,1,1989,0.244062255,0.644739168,NA
AT00,1,1990,0.244062255,0.644739168,NA
AT00,1,1991,0.244062255,0.644739168,NA
AT00,1,1992,0.244062255,0.644739168,NA
AT00,1,1993,0.244062255,0.644739168,NA
AT00,1,1994,0.244062255,0.644739168,NA
AT00,1,1995,0.244062255,0.644739168,NA
AT00,1,1996,0.244062255,0.644739168,NA
AT00,1,1997,0.244062255,0.644739168,NA
AT00,1,1998,0.244062255,0.644739168,NA
AT00,1,1999,0.244062255,0.644739168,NA
AT00,1,2000,0.244062255,0.644739168,NA
AT00,1,2001,0.244062255,0.644739168,NA
AT00,1,2002,0.244062255,0.644739168,NA
AT00,1,2003,0.244062255,0.644739168,NA
AT00,1,2004,0.244062255,0.644739168,NA
AT00,1,2005,0.244062255,0.644739168,NA
AT00,1,2006,0.244062255,0.644739168,NA
AT00,1,2007,0.244062255,0.644739168,NA
AT00,1,2008,0.244062255,0.644739168,NA
AT00,1,2009,0.244062255,0.644739168,NA
AT00,1,2010,0.244062255,0.644739168,NA
AT00,1,2011,0.244062255,0.644739168,NA
AT00,1,2012,0.244062255,0.644739168,NA
AT00,1,2013,0.244062255,0.644739168,NA
AT00,1,2014,0.244062255,0.644739168,NA
AT00,1,2015,0.244062255,0.644739168,NA
AT00,1,2016,0.244062255,0.644739168,NA
AT00,1,2017,NA,NA,NA
AT00,2,1982,0.244062255,0.644739168,NA
AT00,2,1983,0.244062255,0.644739168,NA
AT00,2,1984,0.244062255,0.644739168,NA
AT00,2,1985,0.244062255,0.644739168,NA
AT00,2,1986,0.244062255,0.644739168,NA
AT00,2,1987,0.244062255,0.644739168,NA
AT00,2,1988,0.244062255,0.644739168,NA
AT00,2,1989,0.244062255,0.644739168,NA
AT00,2,1990,0.244062255,0.644739168,NA
AT00,2,1991,0.244062255,0.644739168,NA
AT00,2,1992,0.244062255,0.644739168,NA
AT00,2,1993,0.244062255,0.644739168,NA
AT00,2,1994,0.244062255,0.644739168,NA
