zone,week,year,Minimum Generation in MW,Maximum Generation in MW
AL00,1,1982,12.16618224,1382.343988
AL00,1,1983,12.16618224,1382.343988
AL00,1,1984,12.16618224,1382.343988
AL00,1,1985,12.16618224,1382.343988
AL00,1,1986,12.16618224,1382.343988
AL00,1,1987,12.16618224,1382.343988
AL00,1,1988,12.16618224,1382.343988
AL00,1,1989,12.16618224,1382.343988
AL00,1,1990,12.16618224,1382.343988
AL00,1,1991,12.16618224,1382.343988
AL00,1,1992,12.16618224,1382.343988
AL00,1,1993,12.16618224,1382.343988
AL00,1,1994,12.16618224,1382.343988
AL00,1,1995,12.16618224,1382.343988
AL00,1,1996,12.16618224,1382.343988
AL00,1,1997,12.16618224,1382.343988
AL00,1,1998,12.16618224,1382.343988
AL00,1,1999,12.16618224,1382.343988
AL00,1,2000,12.16618224,1382.343988
AL00,1,2001,12.16618224,1382.343988
AL00,1,2002,12.16618224,1382.343988
AL00,1,2003,12.16618224,1382.343988
AL00,1,2004,12.16618224,1382.343988
AL00,1,2005,12.16618224,1382.343988
AL00,1,2006,12.16618224,1382.343988
AL00,1,2007,12.16618224,1382.343988
AL00,1,2008,12.16618224,1382.343988
AL00,1,2009,12.16618224,1382.343988
AL00,1,2010,12.16618224,1382.343988
AL00,1,2011,12.16618224,1382.343988
AL00,1,2012,12.16618224,1382.343988
AL00,1,2013,12.16618224,1382.343988
AL00,1,2014,12.16618224,1382.343988
AL00,1,2015,12.16618224,1382.343988
AL00,1,2016,12.16618224,1382.343988
AL00,1,2017,12.16618224,1382.343988
AL00,2,1982,12.16618224,1382.343988
AL00,2,1983,12.16618224,1382.343988
AL00,2,1984,12.16618224,1382.343988
AL00,2,1985,12.16618224,1382.343988
AL00,2,1986,12.16618224,1382.343988
AL00,2,1987,12.16618224,1382.343988
AL00,2,1988,12.16618224,1382.343988
AL00,2,1989,12.16618224,1382.343988
AL00,2,1990,12.16618224,1382.343988
AL00,2,1991,12.16618224,1382.343988
AL00,2,1992,12.16618224,1382.343988
AL00,2,1993,12.16618224,1382.343988
AL00,2,1994,12.16618224,1382.343988
AL00,2,1995,12.16618224,1382.343988
AL00,2,1996,12.16618224,1382.343988
AL00,2,1997,12.16618224,1382.343988
AL00,2,1998,12.16618224,1382.343988
AL00,2,1999,12.16618224,1382.343988
