zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,1,1982,160.1381430366793,0
AL00,1,1983,184.2776540286793,0
AL00,1,1984,130.375106664,0
AL00,1,1985,178.8100527373585,0
AL00,1,1986,307.6228410586415,0
AL00,1,1987,120.4564881113208,0
AL00,1,1988,122.4527267816604,0
AL00,1,1989,88.45819785237737,0
AL00,1,1990,84.73858766807548,0
AL00,1,1991,157.7561974084529,0
AL00,1,1992,106.4294749673208,0
AL00,1,1993,88.85929205592454,0
AL00,1,1994,238.8551885696604,0
AL00,1,1995,239.9015212745661,0
AL00,1,1996,123.2138825336604,0
AL00,1,1997,208.1966144995472,0
AL00,1,1998,130.2571377806038,0
AL00,1,1999,132.0246193987925,0
AL00,1,2000,240.4585395674717,0
AL00,1,2001,228.2031113071698,0
AL00,1,2002,188.466062297434,0
AL00,1,2003,163.877243732151,0
AL00,1,2004,171.6929387112453,0
AL00,1,2005,332.0875358422642,0
AL00,1,2006,246.0584711714718,0
AL00,1,2007,138.4041714495849,0
AL00,1,2008,124.297144628151,0
AL00,1,2009,166.6561802984151,0
AL00,1,2010,170.7768846862642,0
AL00,1,2011,201.6878095852076,0
AL00,1,2012,76.35459041592455,0
AL00,1,2013,144.4616171578868,0
AL00,1,2014,116.4599075051321,0
AL00,1,2015,130.4592236069434,0
AL00,1,2016,117.5934346021132,0
AL00,1,2017,115.9500767655849,0
AL00,2,1982,170.9102408153208,0
AL00,2,1983,141.480594765283,0
AL00,2,1984,152.0054707969812,0
AL00,2,1985,346.4274229813586,0
AL00,2,1986,236.9758929663397,0
AL00,2,1987,170.9943577582642,0
AL00,2,1988,113.0285517228679,0
AL00,2,1989,88.37202927667926,0
AL00,2,1990,87.790391390717,0
AL00,2,1991,97.9151990352453,0
AL00,2,1992,99.40263278241511,0
AL00,2,1993,76.0417164208302,0
AL00,2,1994,160.3361255975094,0
AL00,2,1995,184.5782182272453,0
AL00,2,1996,165.9114376084528,0
AL00,2,1997,168.730381013434,0
AL00,2,1998,150.5621471540377,0
AL00,2,1999,164.978970521434,0
AL00,2,2000,206.1049749061133,0
AL00,2,2001,210.9273376960755,0
AL00,2,2002,97.05659072739624,0
AL00,2,2003,258.6021538338114,0
AL00,2,2004,116.3809196440755,0
AL00,2,2005,203.4101552827925,0
AL00,2,2006,231.1348945136604,0
AL00,2,2007,95.99589659320756,0
AL00,2,2008,192.5939473999246,0
AL00,2,2009,159.7175583219623,0
