time,FI,NO_1,NO_2,NO_3,NO_4,NO_5,SE_1,SE_2,FR
2014-12-28 23:00:00,3455000.0,4451000.0,24891000.0,3688000.0,11357000.0,11146000.0,7566000.0,9956000.0,2737368.0
2015-01-04 23:00:00,3406000.0,4225000.0,24291000.0,3525000.0,11093000.0,10646000.0,7301000.0,9615000.0,2648112.0
2015-01-11 23:00:00,3324000.0,3973000.0,23688000.0,3309000.0,10747000.0,10190000.0,7052000.0,9190000.0,2622624.0
2015-01-18 23:00:00,3209000.0,3677000.0,22624000.0,3050000.0,10334000.0,9399000.0,6632000.0,8548000.0,2456362.0
2015-01-25 23:00:00,3127000.0,3419000.0,21631000.0,2854000.0,10058000.0,8841000.0,6378000.0,8018000.0,2289749.0
2015-02-01 23:00:00,2986000.0,3083000.0,20470000.0,2627000.0,9762000.0,8145000.0,6043000.0,7391000.0,2121193.0
2015-02-08 23:00:00,2818000.0,2771000.0,19406000.0,2596000.0,9805000.0,7536000.0,5752000.0,7232000.0,1832396.0
2015-02-15 23:00:00,2664000.0,2475000.0,18652000.0,2488000.0,9688000.0,7144000.0,5460000.0,6792000.0,1642339.0
2015-02-22 23:00:00,2543000.0,2233000.0,17906000.0,2355000.0,9470000.0,6675000.0,5175000.0,6271000.0,1498497.0
2015-03-01 23:00:00,2433000.0,2033000.0,17251000.0,2221000.0,9240000.0,6222000.0,4856000.0,5723000.0,1632116.0
2015-03-08 23:00:00,2344000.0,1821000.0,16674000.0,2116000.0,8982000.0,5796000.0,4562000.0,5097000.0,1314307.0
2015-03-15 23:00:00,2241000.0,1586000.0,15758000.0,2001000.0,8703000.0,5171000.0,4202000.0,4481000.0,1211849.0
2015-03-22 23:00:00,2141000.0,1371000.0,14822000.0,1888000.0,8425000.0,4537000.0,3846000.0,3972000.0,1111858.0
2015-03-29 22:00:00,2065000.0,1171000.0,13978000.0,1795000.0,8203000.0,3961000.0,3552000.0,3470000.0,1112498.0
2015-04-05 22:00:00,2044000.0,1040000.0,13306000.0,1769000.0,8057000.0,3546000.0,3308000.0,3249000.0,1120162.0
2015-04-12 22:00:00,2138000.0,991000.0,12712000.0,1724000.0,7832000.0,3233000.0,3074000.0,3136000.0,1134908.0
2015-04-19 22:00:00,2328000.0,1140000.0,12483000.0,1770000.0,7633000.0,3000000.0,2908000.0,3505000.0,1191820.0
2015-04-26 22:00:00,2539000.0,1191000.0,11825000.0,1730000.0,7383000.0,2700000.0,2673000.0,3752000.0,1254809.0
2015-05-03 22:00:00,3010000.0,1519000.0,12031000.0,1930000.0,7359000.0,2618000.0,2724000.0,4840000.0,1518660.0
2015-05-10 22:00:00,3929000.0,1891000.0,12659000.0,2202000.0,7508000.0,2826000.0,3038000.0,6307000.0,1720675.0
2015-05-17 22:00:00,4227000.0,2142000.0,12846000.0,2419000.0,7612000.0,2894000.0,3372000.0,7492000.0,1917460.0
2015-05-24 22:00:00,4378000.0,2468000.0,13108000.0,2964000.0,7951000.0,2984000.0,4134000.0,9080000.0,1916174.0
2015-05-31 22:00:00,4441000.0,2821000.0,14162000.0,3291000.0,8728000.0,3333000.0,5241000.0,10987000.0,2052323.0
2015-06-07 22:00:00,4439000.0,3157000.0,15578000.0,3323000.0,9300000.0,3987000.0,5820000.0,11959000.0,2229232.0
2015-06-14 22:00:00,4472000.0,3384000.0,16714000.0,3607000.0,9651000.0,4497000.0,6244000.0,12360000.0,2405020.0
2015-06-21 22:00:00,4512000.0,3774000.0,17956000.0,3991000.0,10474000.0,5416000.0,7382000.0,13018000.0,2498453.0
2015-06-28 22:00:00,4505000.0,4273000.0,19947000.0,4696000.0,11303000.0,7023000.0,8456000.0,13590000.0,2492731.0
2015-07-05 22:00:00,4464000.0,4874000.0,22451000.0,5308000.0,12533000.0,8908000.0,9656000.0,14359000.0,2532015.0
2015-07-12 22:00:00,4375000.0,5185000.0,23638000.0,5581000.0,13317000.0,9972000.0,10534000.0,14520000.0,2555627.0
2015-07-19 22:00:00,4359000.0,5338000.0,24865000.0,5792000.0,14024000.0,10939000.0,11376000.0,14672000.0,2543616.0
2015-07-26 22:00:00,4453000.0,5472000.0,25694000.0,5952000.0,14968000.0,11568000.0,12544000.0,15037000.0,2573500.0
2015-08-02 22:00:00,4437000.0,5659000.0,26743000.0,6128000.0,15581000.0,12377000.0,12942000.0,14953000.0,2610486.0
2015-08-09 22:00:00,4382000.0,5732000.0,27635000.0,6199000.0,16095000.0,13088000.0,13214000.0,14731000.0,2638154.0
2015-08-16 22:00:00,4228000.0,5764000.0,28497000.0,6167000.0,16374000.0,13718000.0,13327000.0,14337000.0,2683473.0
2015-08-23 22:00:00,4152000.0,6057000.0,29833000.0,6185000.0,16762000.0,14502000.0,13487000.0,14203000.0,2707234.0
2015-08-30 22:00:00,4082000.0,6296000.0,30560000.0,6138000.0,16878000.0,14774000.0,13469000.0,13978000.0,2670356.0
2015-09-06 22:00:00,4020000.0,6249000.0,30265000.0,6103000.0,16854000.0,14576000.0,13283000.0,13536000.0,2656060.0
2015-09-13 22:00:00,4031000.0,6494000.0,31004000.0,6150000.0,17047000.0,15024000.0,13395000.0,13710000.0,2653075.0
2015-09-20 22:00:00,4132000.0,6507000.0,31040000.0,6233000.0,17267000.0,14989000.0,13546000.0,13977000.0,2680678.0
2015-09-27 22:00:00,4115000.0,6412000.0,30656000.0,6360000.0,17871000.0,14892000.0,13652000.0,14539000.0,2644538.0
2015-10-04 22:00:00,4049000.0,6264000.0,30215000.0,6293000.0,17853000.0,14580000.0,13450000.0,14470000.0,2621532.0
2015-10-11 22:00:00,3979000.0,6061000.0,29537000.0,6145000.0,18048000.0,14134000.0,13326000.0,14096000.0,2591506.0
2015-10-18 22:00:00,3968000.0,5882000.0,29305000.0,6059000.0,18173000.0,14070000.0,13211000.0,13861000.0,2493778.0
2015-10-25 23:00:00,3952000.0,5698000.0,28905000.0,5954000.0,18144000.0,13950000.0,13016000.0,13570000.0,2409220.0
2015-11-01 23:00:00,3926000.0,5566000.0,28577000.0,5871000.0,18286000.0,13848000.0,12917000.0,13625000.0,2394525.0
2015-11-08 23:00:00,3954000.0,5479000.0,29103000.0,5740000.0,18108000.0,13884000.0,12671000.0,13431000.0,2392543.0
2015-11-15 23:00:00,3948000.0,5257000.0,28621000.0,5494000.0,17751000.0,13469000.0,12342000.0,12955000.0,2344375.0
2015-11-22 23:00:00,3955000.0,5059000.0,28271000.0,5343000.0,17442000.0,13282000.0,12040000.0,12538000.0,2287176.0
2015-11-29 23:00:00,4022000.0,4949000.0,29061000.0,5184000.0,17230000.0,13246000.0,11777000.0,12260000.0,2249053.0
2015-12-06 23:00:00,4086000.0,4821000.0,29389000.0,5042000.0,16983000.0,13109000.0,11433000.0,11826000.0,2214811.0
2015-12-13 23:00:00,4148000.0,4611000.0,29446000.0,4936000.0,16761000.0,13057000.0,11098000.0,11410000.0,2108071.0
2015-12-20 23:00:00,4236000.0,4590000.0,29946000.0,4993000.0,16709000.0,13134000.0,10981000.0,11473000.0,2064510.0
2015-12-27 23:00:00,4212000.0,3715000.0,29282000.0,5701000.0,16436000.0,12619000.0,10639000.0,11061000.0,2031601.0
2016-01-03 23:00:00,4110000.0,3436000.0,28166000.0,5384000.0,15928000.0,11880000.0,10172000.0,10322000.0,1978425.0
2016-01-10 23:00:00,3996000.0,3139000.0,27010000.0,5049000.0,15385000.0,11019000.0,9738000.0,9578000.0,2042176.0
2016-01-17 23:00:00,3840000.0,2827000.0,25732000.0,4668000.0,14845000.0,10119000.0,9272000.0,8784000.0,1893646.0
2016-01-24 23:00:00,3746000.0,2662000.0,25470000.0,4487000.0,14466000.0,9867000.0,8915000.0,8232000.0,1812965.0
2016-01-31 23:00:00,3598000.0,2466000.0,24973000.0,4269000.0,14056000.0,9470000.0,8512000.0,7641000.0,1808771.0
2016-02-07 23:00:00,3518000.0,2244000.0,24056000.0,4011000.0,13589000.0,8887000.0,8121000.0,6921000.0,1748370.0
2016-02-14 23:00:00,3360000.0,1922000.0,23158000.0,3721000.0,13138000.0,8280000.0,7649000.0,6200000.0,1645290.0
2016-02-21 23:00:00,3171000.0,1659000.0,22038000.0,3460000.0,12659000.0,7594000.0,7195000.0,5443000.0,1523088.0
2016-02-28 23:00:00,2964000.0,1429000.0,20891000.0,3159000.0,12143000.0,6883000.0,6721000.0,4701000.0,1368108.0
2016-03-06 23:00:00,2784000.0,1202000.0,19605000.0,2852000.0,11679000.0,6118000.0,6297000.0,4022000.0,1308303.0
2016-03-13 23:00:00,2601000.0,1062000.0,18676000.0,2724000.0,11364000.0,5538000.0,5962000.0,3580000.0,1165647.0
2016-03-20 23:00:00,2439000.0,953000.0,17896000.0,2598000.0,11015000.0,5016000.0,5583000.0,3175000.0,1032395.0
2016-03-27 22:00:00,2332000.0,927000.0,17318000.0,2492000.0,10661000.0,4578000.0,5237000.0,2827000.0,993525.0
2016-04-03 22:00:00,2350000.0,915000.0,16769000.0,2352000.0,10315000.0,4153000.0,4939000.0,2624000.0,1023632.0
2016-04-10 22:00:00,2433000.0,880000.0,16072000.0,2182000.0,9953000.0,3714000.0,4643000.0,2436000.0,1039776.0
2016-04-17 22:00:00,2589000.0,883000.0,15563000.0,2074000.0,9609000.0,3464000.0,4309000.0,2373000.0,1087120.0
2016-04-24 22:00:00,2971000.0,883000.0,14711000.0,1899000.0,9339000.0,3091000.0,4170000.0,2410000.0,1079049.0
2016-05-01 22:00:00,3608000.0,1050000.0,14572000.0,2022000.0,9362000.0,3008000.0,4367000.0,3387000.0,1078797.0
2016-05-08 22:00:00,4024000.0,,,,,,4751000.0,4857000.0,1190531.0
2016-05-15 22:00:00,4174000.0,2054000.0,16088000.0,2526000.0,9502000.0,3518000.0,5053000.0,5726000.0,1355507.0
2016-05-22 22:00:00,4228000.0,2881000.0,18034000.0,3135000.0,10083000.0,4416000.0,5766000.0,7610000.0,1498294.0
2016-05-29 22:00:00,4189000.0,3562000.0,20877000.0,3995000.0,11055000.0,6344000.0,6551000.0,8985000.0,1723111.0
2016-06-05 22:00:00,4182000.0,3831000.0,22135000.0,4251000.0,11371000.0,7504000.0,6740000.0,9397000.0,1902719.0
2016-06-12 22:00:00,4236000.0,3982000.0,22741000.0,4457000.0,11835000.0,8227000.0,6963000.0,9664000.0,2131614.0
2016-06-19 22:00:00,4254000.0,4188000.0,23729000.0,4643000.0,12527000.0,9282000.0,7431000.0,9901000.0,2271954.0
2016-06-26 22:00:00,4217000.0,4475000.0,24870000.0,4878000.0,13452000.0,10343000.0,8101000.0,10159000.0,2424740.0
2016-07-03 22:00:00,4317000.0,4523000.0,25165000.0,4927000.0,14011000.0,10703000.0,8655000.0,10226000.0,2595652.0
2016-07-10 22:00:00,4350000.0,4616000.0,25638000.0,5067000.0,14279000.0,11332000.0,8939000.0,10316000.0,2689942.0
2016-07-17 22:00:00,4314000.0,4664000.0,25781000.0,5142000.0,14564000.0,11910000.0,9036000.0,10236000.0,2746988.0
2016-07-24 22:00:00,4317000.0,4781000.0,26299000.0,5278000.0,14824000.0,12625000.0,9166000.0,10303000.0,2774693.0
2016-07-31 22:00:00,4385000.0,4853000.0,26800000.0,5369000.0,15037000.0,12932000.0,9438000.0,10488000.0,2815144.0
2016-08-07 22:00:00,4343000.0,4986000.0,27642000.0,5660000.0,15187000.0,13521000.0,9705000.0,10692000.0,2845905.0
2016-08-14 22:00:00,4326000.0,5002000.0,27538000.0,5643000.0,15186000.0,13660000.0,9793000.0,10659000.0,2843018.0
2016-08-21 22:00:00,4323000.0,5081000.0,27609000.0,5685000.0,15228000.0,14121000.0,9880000.0,10769000.0,2826938.0
2016-08-28 22:00:00,4323000.0,5128000.0,27645000.0,5855000.0,15502000.0,14590000.0,9951000.0,11044000.0,2746637.0
2016-09-04 22:00:00,4255000.0,5110000.0,27740000.0,5865000.0,15844000.0,14676000.0,10107000.0,11253000.0,2675879.0
2016-09-11 22:00:00,4194000.0,5104000.0,27764000.0,5842000.0,16032000.0,14669000.0,10206000.0,11287000.0,2580900.0
2016-09-18 22:00:00,4081000.0,5025000.0,27358000.0,5730000.0,15937000.0,14494000.0,10158000.0,11095000.0,2606349.0
2016-09-25 22:00:00,4068000.0,5051000.0,28621000.0,5848000.0,16143000.0,15151000.0,,11231000.0,2512710.0
2016-10-02 22:00:00,3981000.0,5025000.0,28332000.0,5716000.0,16179000.0,14850000.0,10145000.0,11073000.0,2454430.0
2016-10-09 22:00:00,3870000.0,4917000.0,27545000.0,5485000.0,15958000.0,14429000.0,9965000.0,10713000.0,2321294.0
2016-10-16 22:00:00,3799000.0,4807000.0,26767000.0,5251000.0,15677000.0,13983000.0,9773000.0,10354000.0,2262240.0
2016-10-23 22:00:00,3771000.0,4687000.0,26207000.0,5149000.0,15338000.0,13662000.0,9553000.0,10103000.0,2211351.0
2016-10-30 23:00:00,3716000.0,4591000.0,25539000.0,5060000.0,14972000.0,13309000.0,9271000.0,9783000.0,2271496.0
2016-11-06 23:00:00,3615000.0,4367000.0,24502000.0,4679000.0,14551000.0,12656000.0,8892000.0,9266000.0,2313148.0
2016-11-13 23:00:00,3591000.0,4278000.0,24138000.0,4626000.0,14190000.0,12345000.0,8685000.0,9095000.0,2333679.0
2016-11-20 23:00:00,3650000.0,4203000.0,23852000.0,4666000.0,13843000.0,12085000.0,8521000.0,8960000.0,2455207.0
2016-11-27 23:00:00,3649000.0,4019000.0,23027000.0,4603000.0,13628000.0,11614000.0,8288000.0,8750000.0,2486202.0
2016-12-04 23:00:00,3614000.0,3864000.0,23070000.0,4844000.0,13371000.0,11500000.0,8062000.0,8737000.0,2388603.0
2016-12-11 23:00:00,3516000.0,3610000.0,22171000.0,4686000.0,13021000.0,10969000.0,7711000.0,7803000.0,2256174.0
2016-12-18 23:00:00,3501000.0,3500000.0,21794000.0,4814000.0,12863000.0,10716000.0,7542000.0,8682000.0,2066183.0
2016-12-25 23:00:00,3511000.0,3401000.0,22234000.0,4877000.0,12777000.0,10698000.0,7459000.0,8866000.0,1978452.0
2017-01-01 23:00:00,3415000.0,3157000.0,21575000.0,4698000.0,12362000.0,10167000.0,7107000.0,8586000.0,1731080.0
2017-01-08 23:00:00,3328000.0,2954000.0,21010000.0,4489000.0,11939000.0,9710000.0,6784000.0,8242000.0,1506079.0
2017-01-15 23:00:00,3213000.0,2691000.0,20431000.0,4425000.0,11598000.0,9339000.0,6468000.0,7832000.0,1352500.0
2017-01-22 23:00:00,3073000.0,2409000.0,19759000.0,4212000.0,11591000.0,8809000.0,6183000.0,7500000.0,988159.0
2017-01-29 23:00:00,2929000.0,2091000.0,18909000.0,3909000.0,11226000.0,8105000.0,5825000.0,7021000.0,907065.0
2017-02-05 23:00:00,2765000.0,1812000.0,17972000.0,3567000.0,10763000.0,7344000.0,5424000.0,6367000.0,971170.0
2017-02-12 23:00:00,2657000.0,1555000.0,17116000.0,3299000.0,10450000.0,6623000.0,5137000.0,5845000.0,937230.0
2017-02-19 23:00:00,2574000.0,1350000.0,16765000.0,3125000.0,9975000.0,6166000.0,4864000.0,5408000.0,935748.0
2017-02-26 23:00:00,2457000.0,1186000.0,16143000.0,2854000.0,9460000.0,5579000.0,4522000.0,4865000.0,843774.0
2017-03-05 23:00:00,2327000.0,987000.0,15257000.0,2535000.0,9030000.0,4907000.0,4185000.0,4269000.0,856354.0
2017-03-12 23:00:00,2246000.0,865000.0,14751000.0,2331000.0,8713000.0,4482000.0,3884000.0,3899000.0,873142.0
2017-03-19 23:00:00,2127000.0,742000.0,14070000.0,2146000.0,8432000.0,4066000.0,3587000.0,3501000.0,851557.0
2017-03-26 22:00:00,2040000.0,736000.0,13917000.0,2048000.0,8163000.0,3737000.0,3259000.0,3268000.0,841629.0
2017-04-02 22:00:00,1992000.0,769000.0,14059000.0,2024000.0,7867000.0,3532000.0,3007000.0,3189000.0,839510.0
2017-04-09 22:00:00,1989000.0,792000.0,14000000.0,1911000.0,7536000.0,3350000.0,2772000.0,3121000.0,858713.0
2017-04-16 22:00:00,1952000.0,755000.0,13405000.0,1694000.0,7223000.0,3071000.0,2554000.0,2984000.0,872913.0
2017-04-23 22:00:00,1956000.0,731000.0,12515000.0,1449000.0,6839000.0,2702000.0,2391000.0,2688000.0,909507.0
2017-04-30 22:00:00,2092000.0,887000.0,12196000.0,1345000.0,6511000.0,2604000.0,2393000.0,2825000.0,926378.0
